No.,Website,Product Name,Quantity,Price per Piece (₹),Total Price (₹),Total Price in USB,Product Link,Remarks 
1,Robocraze.com,Raspberry Pi 5 Model 8GB RAM,1,"Rs8,209.00","Rs8,209.00",$92.56,Link,Development Bord
2,Robu.in,L298N V3 Four DC Motor Driver,1,Rs978.00,Rs978.00,$11.03,Link,Motor driver
3,Robu.in,EasyMech 6mm Coupling Hub For 60mm,4,Rs144.00,Rs576.00,$6.49,Link,
4,Robu.in,Pro-Range 12V 300 RPM Johnson Geared DC Motor,4,Rs499.00,"Rs1,996.00",$22.51,Link,
5,Robu.in,Advance Metal Chassis 2,1,Rs177.00,Rs177.00,$2.00,Link,
6,Robocraze.com,Raspberry Pi Camera Module V2,1,"Rs1,539.00","Rs1,539.00",$17.35,Link,
7,Robocraze.com,32 GB SD Card,1,Rs479.00,Rs479.00,$5.40,Link,
8,Robocraze.com,Raspberry Pi 5 Active Cooler,1,Rs456.00,Rs456.00,$5.14,Link,
9,Robocraze.com,MG995 High Speed Servo Motor(360 Degree),1,Rs294.00,Rs294.00,$3.31,Link,
10,Robu.in,60mm Aluminum Mecanum Wheel,1,"Rs1,506.00","Rs1,506.00",$17.54,Link,
11,Robocraze.com,12V 5000RPM Peristaltic Dosing Pump,1,Rs565.00,Rs565.00,$6.58,Link,
,,,16,,"Rs16,210.00",$183.33,,
